date,pm25,pm10,us_aqi
2025-09-23,17.13,17.36,50.0
2025-09-24,8.16,8.39,57.29
2025-09-25,8.43,8.53,36.62
2025-09-26,13.38,13.71,44.5
2025-09-27,20.48,20.74,64.04
2025-09-28,9.12,9.18,54.46
2025-09-29,9.95,9.98,31.96
2025-09-30,11.17,11.22,53.92
2025-10-01,2.08,2.14,31.67
2025-10-02,4.55,4.61,34.0
2025-10-03,15.83,15.87,46.25
2025-10-04,13.34,13.35,53.42
2025-10-05,15.59,15.59,59.04
2025-10-06,8.78,8.78,51.67
2025-10-07,5.56,5.72,32.29
2025-10-08,3.94,3.97,30.67
2025-10-09,4.03,4.19,30.46
2025-10-10,3.87,3.94,34.5
2025-10-11,8.89,9.02,34.92
2025-10-12,4.8,5.38,36.42
2025-10-13,4.08,4.28,33.5
2025-10-14,8.49,8.57,29.92
2025-10-15,2.73,2.75,30.62
2025-10-16,2.92,2.98,29.17
2025-10-17,4.7,4.82,24.5
2025-10-18,7.0,7.03,30.83
2025-10-19,6.25,6.27,41.17
2025-10-20,2.52,2.59,28.88
2025-10-21,6.0,6.12,22.67
2025-10-22,4.68,4.71,22.46
2025-10-23,3.61,3.66,21.92
2025-10-24,3.41,3.58,22.83
2025-10-25,5.27,5.48,22.54
2025-10-26,5.78,6.6,26.29
2025-10-27,1.98,2.05,27.12
2025-10-28,1.44,1.44,29.92
2025-10-29,2.47,2.52,25.17
2025-10-30,1.45,1.49,27.04
2025-10-31,1.48,1.52,25.88
2025-11-01,5.53,5.72,27.96
2025-11-02,5.99,6.06,22.42
2025-11-03,6.26,6.38,33.62
2025-11-04,3.1,3.26,29.04
2025-11-05,5.42,5.5,23.42
2025-11-06,2.15,2.28,29.46
2025-11-07,5.85,5.94,27.54
2025-11-08,3.14,3.26,28.17
2025-11-09,3.5,3.87,29.17
2025-11-10,1.86,2.3,32.21
2025-11-11,3.49,3.89,31.04
2025-11-12,7.46,7.59,31.04
2025-11-13,2.31,2.36,31.08
2025-11-14,11.18,11.57,29.92
2025-11-15,8.09,8.3,40.96
2025-11-16,1.68,1.74,31.54
2025-11-17,1.75,1.79,30.08
2025-11-18,3.34,3.4,24.71
2025-11-19,7.56,7.59,23.58
2025-11-20,11.54,11.55,39.75
2025-11-21,9.79,9.93,49.04
2025-11-22,4.74,4.94,31.38
2025-11-23,5.54,5.71,25.5
2025-11-24,4.79,5.08,24.96
2025-11-25,10.17,10.46,35.33
2025-11-26,7.82,7.83,39.38
2025-11-27,1.6,1.65,30.83
2025-11-28,1.23,1.31,35.12
2025-11-29,3.13,3.3,34.79
2025-11-30,4.17,4.25,31.62
2025-12-01,2.41,2.45,34.08
2025-12-02,5.12,5.2,33.67
2025-12-03,8.5,8.66,35.79
2025-12-04,1.79,1.88,33.0
2025-12-05,4.05,4.41,32.96
2025-12-06,6.8,6.91,31.21
2025-12-07,3.81,3.85,30.71
2025-12-08,4.95,5.8,33.21
2025-12-09,6.46,7.19,29.04
2025-12-10,3.53,3.56,24.79
2025-12-11,1.51,1.78,33.79
2025-12-12,3.6,3.88,32.79
2025-12-13,4.46,4.54,27.67
2025-12-14,2.67,2.87,30.71
2025-12-15,3.59,3.62,28.79
2025-12-16,7.89,7.93,28.08
2025-12-17,10.13,10.52,38.46
2025-12-18,11.44,11.61,45.54
2025-12-19,1.9,2.0,32.62
2025-12-20,4.21,4.39,30.96
2025-12-21,3.4,3.5,28.96
2025-12-22,10.15,10.8,31.42
2025-12-23,15.4,16.42,47.29
2025-12-24,4.74,4.82,45.25
2025-12-25,6.16,6.29,29.92
2025-12-26,1.71,1.76,33.88
2025-12-27,5.29,5.6,29.25
2025-12-28,6.25,6.31,24.88
2025-12-29,3.43,3.51,28.25
2025-12-30,0.77,0.8,35.21
2025-12-31,2.38,2.46,33.71
